bikeid,CountOfRenting,SumOfRentedTime,AverageRentTime
42354,110,169438,1540.34545454545
31927,425,168069,395.456470588235
31788,136,166765,1226.21323529412
26706,171,165528,968
25738,207,162326,784.183574879227
31767,316,161130,509.905063291139
33555,272,160399,589.702205882353
33578,224,160224,715.285714285714
31862,328,159088,485.024390243903
30168,74,158725,2144.93243243243
42373,112,158690,1416.875
33600,248,154720,623.870967741936
42550,101,154187,1526.60396039604
42210,121,154136,1273.85123966942
31841,370,153586,415.097297297297
42621,107,153570,1435.23364485981
42113,112,152948,1365.60714285714
33593,256,151403,591.41796875
33624,148,151044,1020.56756756757
42352,74,150962,2040.02702702703
31727,360,149739,415.941666666667
42576,84,147430,1755.11904761905
31956,271,146793,541.671586715867
42141,92,144571,1571.42391304348
31835,352,141857,403.002840909091
31880,272,140709,517.3125
42447,88,138768,1576.90909090909
31910,211,137349,650.943127962085
33006,257,137095,533.443579766537
42281,106,131693,1242.38679245283
27204,176,130064,739
42582,83,128864,1552.57831325301
31822,308,128453,417.055194805195
33562,285,127960,448.982456140351
31834,248,124606,502.443548387097
27083,256,122791,479.65234375
42344,76,120353,1583.59210526316
42459,76,119571,1573.30263157895
42236,89,119430,1341.91011235955
33558,146,119169,816.22602739726
33561,199,118907,597.522613065327
33463,282,118276,419.418439716312
42189,69,118074,1711.21739130435
42161,87,117054,1345.44827586207
42314,105,116592,1110.4
42292,77,114216,1483.32467532468
32417,203,112162,552.522167487685
31943,219,112041,511.602739726027
31737,206,110108,534.504854368932
14948,12,110014,9167.83333333333
42577,91,109867,1207.32967032967
29912,145,109678,756.4
40910,63,109431,1737
18192,124,109003,879.056451612903
42521,65,108976,1676.55384615385
42549,73,107712,1475.50684931507
31058,180,107685,598.25
33985,147,107482,731.170068027211
20211,113,107243,949.053097345133
28242,172,106356,618.348837209302
42204,94,104880,1115.74468085106
42153,78,104878,1344.58974358974
26610,181,104421,576.911602209945
42203,99,103265,1043.08080808081
31702,182,99095,544.478021978022
19886,16,99068,6191.75
42174,81,98567,1216.87654320988
42336,99,98409,994.030303030303
42466,87,97880,1125.05747126437
42199,92,97065,1055.05434782609
28164,238,96998,407.554621848739
42181,117,95050,812.393162393162
31975,127,93961,739.850393700788
28857,114,93747,822.342105263158
42474,98,93471,953.785714285714
31831,87,93448,1074.11494252874
31756,162,92922,573.592592592593
33442,132,92179,698.325757575758
31998,175,91666,523.805714285714
33840,165,91148,552.412121212121
42337,138,91059,659.847826086957
30643,166,90254,543.698795180723
31886,197,88775,450.634517766498
42171,95,88362,930.126315789474
42282,101,88047,871.752475247525
42575,74,88039,1189.71621621622
25100,149,87927,590.114093959732
31819,134,87632,653.970149253731
18372,44,87589,1990.65909090909
33649,140,87287,623.478571428571
42251,89,87058,978.179775280899
27269,124,86834,700.274193548387
42274,99,85649,865.141414141414
30448,137,85087,621.07299270073
33618,157,84372,537.40127388535
26618,92,84016,913.217391304348
42291,81,83668,1032.93827160494
