bikeid,CountOfRenting,SumOfRentedTime,AverageRentTime
35249,1344,2409014,1792.42113095238
30424,1587,2408940,1517.92060491493
30993,1316,2408312,1830.02431610942
34396,2805,2408099,858.502317290553
33872,2647,2406999,909.330940687571
35303,2705,2405676,889.344177449168
32240,2835,2404966,848.312522045855
35343,2734,2404483,879.474396488661
35105,2921,2403794,822.935296131462
35127,2757,2403745,871.869785999275
35246,2585,2403161,929.656092843327
35124,2606,2403117,922.14773599386
34912,2700,2402580,889.844444444445
35293,2795,2402074,859.41824686941
35196,2760,2401968,870.278260869565
34141,2749,2401908,873.738814114223
34104,2803,2401090,856.614341776668
38481,1287,2400768,1865.3986013986
35020,2579,2399613,930.443195036836
19639,705,2399004,3402.84255319149
30309,1553,2398781,1544.61107533806
18174,1035,2398754,2317.63671497585
35280,2790,2398200,859.569892473118
38179,1057,2398199,2268.87322611164
33866,2572,2396776,931.872472783826
34350,2731,2394932,876.943244232882
20213,1009,2394257,2372.90089197225
21575,744,2394001,3217.74327956989
33767,2747,2392354,870.896978522024
35274,2738,2389059,872.556245434624
30235,1689,2388792,1414.32326820604
35202,2546,2386670,937.41948153967
33887,2450,2384890,973.424489795918
35263,2837,2384884,840.635882974974
34194,2698,2383916,883.586360266864
35363,2803,2383381,850.296468069925
30970,1721,2382370,1384.2940151075
30863,980,2382250,2430.86734693878
34991,2843,2381881,837.805487161449
33993,2487,2381729,957.671491757137
35381,2747,2381303,866.874044412086
35315,2748,2380077,866.112445414847
34094,2839,2379906,838.290243043325
34345,2803,2379785,849.013556903318
28690,995,2379148,2391.10351758794
33608,1572,2378422,1512.99109414758
34770,1277,2378194,1862.32889584965
33740,2876,2376944,826.475660639778
35042,2624,2376916,905.836890243902
35139,2516,2375630,944.20906200318
33328,1410,2375580,1684.8085106383
35308,1918,2375485,1238.52189781022
27011,1154,2375410,2058.41421143848
34103,2556,2374906,929.149452269171
27841,770,2374876,3084.25454545455
35091,2763,2374273,859.309808179515
33321,1331,2374112,1783.70548459805
31099,1341,2373781,1770.15734526473
33845,2494,2373561,951.708500400962
34228,2552,2372109,929.509796238244
34063,2120,2372052,1118.89245283019
35159,2699,2372006,878.846239347907
34320,2694,2371548,880.307349665924
38684,629,2370806,3769.16693163752
32232,1603,2370590,1478.84591391142
35076,2840,2369500,834.330985915493
34007,2690,2368967,880.65687732342
35384,2866,2368512,826.417306350314
34068,2749,2368421,861.557293561295
35391,2772,2367759,854.169913419914
35312,2754,2367317,859.592229484387
35307,2702,2367257,876.112879348631
35270,2611,2366873,906.500574492532
34181,2791,2366119,847.767466857757
35157,2597,2366022,911.059684251059
35472,2744,2364544,861.714285714286
34151,2860,2362024,825.882517482518
31089,1237,2361866,1909.35004042037
35147,2813,2360871,839.271596160683
33975,2540,2360500,929.330708661417
31006,1357,2360406,1739.42962417097
30067,1549,2360355,1523.79276952873
35049,2775,2359201,850.162522522523
34409,2511,2358162,939.132616487455
35261,1905,2357431,1237.49658792651
16771,1297,2356877,1817.17579028527
34998,2710,2356579,869.586346863469
33859,2790,2356300,844.551971326165
34921,2598,2355295,906.580061585835
35050,2728,2354752,863.178885630498
17177,743,2354337,3168.69044414536
27510,1200,2354293,1961.91083333333
34122,2603,2354250,904.437187860161
34212,2695,2353259,873.194434137291
33816,2649,2353130,888.308795771989
34962,2725,2352430,863.277064220183
34333,2611,2351469,900.600919188051
35262,2694,2351449,872.846696362287
34080,2439,2350805,963.839688396884
27907,1899,2350572,1237.79462875197
15369,915,2350072,2568.38469945355
34343,2084,2349703,1127.49664107486
32669,1553,2349510,1512.88473921442
35378,2697,2349332,871.090841675936
32032,1603,2347225,1464.27011852776
35331,2586,2347016,907.585460170147
35176,2354,2346972,997.014443500425
34928,2698,2345414,869.315789473684
35085,2664,2345022,880.263513513514
33319,2690,2344866,871.697397769517
35237,2589,2344365,905.509849362688
30432,1800,2344092,1302.27333333333
20001,976,2343773,2401.40676229508
35275,2602,2342581,900.300153727902
33813,2366,2342506,990.070160608622
34271,2563,2341727,913.666406554819
34175,2731,2340559,857.033687294032
35173,2543,2338861,919.725127801809
34188,2669,2338674,876.236043461971
