"","stationId","stationName","latitude","longitude","hires"
"314","3342","Pioneer St & Richards St",40.6777748,-74.0094613,310
"315","3343","W 107 St & Columbus Ave",40.7997568,-73.9621128676,395
"316","3344","Pioneer St & Van Brunt St",40.679043,-74.011169,999
"317","3345","Madison Ave & E 99 St",40.7894854155321,-73.9524292945862,328
"318","3346","Berkeley Pl & 7 Ave",40.6751468387098,-73.9752320945263,1743
"319","3347","Van Brunt St & Wolcott St",40.6773429,-74.01275056,917
"320","3348","Coffey St & Conover St",40.677236,-74.015665,696
"321","3349","Grand Army Plaza & Plaza St West",40.6729679,-73.97087984,4670
"322","335","Washington Pl & Broadway",40.72903917,-73.99404649,2059
"323","3350","W 100 St & Broadway",40.7973721,-73.97041192,1413
"324","3351","E 102 St & 1 Ave",40.7869946,-73.94164802,1347
"325","3352","Sigourney St & Columbia St",40.6726724341095,-74.0087952464819,400
"326","3354","3 St & Prospect Park West",40.668132,-73.97363831,2414
"327","3355","E 66 St & Madison Ave",40.7680088930595,-73.9684528112411,1185
"328","3356","Amsterdam Ave & W 66 St",40.7746671,-73.98470567,880
"329","3357","W 106 St & Amsterdam Ave",40.8008363,-73.9664492472,841
"330","3358","Garfield Pl & 8 Ave",40.6711978,-73.97484126,678
"331","3359","E 68 St & Madison Ave",40.7691572,-73.96703464,808
"332","336","Sullivan St & Washington Sq",40.73047747,-73.99906065,3402
"333","3360","Amsterdam Ave & W 79 St",40.7829391,-73.9786517,2304
"334","3361","Carroll St & 6 Ave",40.6740886,-73.9787282,716
"335","3362","Madison Ave & E 82 St",40.7781314,-73.96069399,3270
"336","3363","E 102 St & Park Ave",40.7904828,-73.95033068,344
"337","3364","Carroll St & 5 Ave",40.6751622,-73.9814832,1168
"338","3365","3 St & 7 Ave",40.6703837,-73.97839676,1100
"339","3366","West End Ave & W 107 St",40.8021174,-73.9681805305,827
"340","3367","5 Ave & E 103 St",40.7922553,-73.95249933,2383
"341","3368","5 Ave & 3 St",40.6728155,-73.98352355,1537
"342","3369","E 82 St & East End Ave",40.7724607,-73.9468208,644
"343","337","Old Slip & Front St",40.7037992,-74.00838676,1377
"344","3370","E 78 St & 2 Ave",40.7727966,-73.95577801,1023
"345","3371","4 Ave & 2 St",40.6746134224758,-73.9850114285946,38
"346","3372","E 74 St & 1 Ave",40.7689738,-73.95482273,1287
"347","3373","3 St & 3 Ave",40.6750705,-73.98775226,920
"348","3374","Central Park North & Adam Clayton Powell Blvd",40.799484,-73.955613,5124
"349","3375","3 Ave & E 72 St",40.7699426,-73.96060712,719
"350","3376","E 65 St & 2 Ave",40.7647185194434,-73.962220698595,906
"351","3377","Carroll St & Bond St",40.6786115,-73.99037292,1187
"352","3378","E 76 St & Park Ave",40.773763,-73.96222088,1049
"353","3379","E 103 St & Lexington Ave",40.7903051,-73.94755757,565
"354","3381","3 St & Hoyt St",40.6777287,-73.99364123,399
"355","3382","Carroll St & Smith St",40.680611,-73.99475825,1302
"356","3383","Cathedral Pkwy & Broadway",40.804213,-73.96699104,1038
"357","3384","Smith St & 3 St",40.6787242,-73.99599099,761
"358","3386","1 Pl & Clinton St",40.6809591,-73.99905709,558
"359","3387","E 106 St & Madison Ave",40.7934337,-73.94945003,476
"360","3388","President St & Henry St",40.6828003,-73.99990419,578
"361","3389","Carroll St & Columbia St",40.6830456,-74.00348559,741
"362","339","Avenue D & E 12 St",40.72580614,-73.97422494,782
"363","3390","E 109 St & 3 Ave",40.79329668,-73.9432083,383
"364","3391","E 106 St & 1 Ave",40.7892529,-73.93956237,402
"365","3392","Commerce St & Van Brunt St",40.6812117,-74.00860912,412
"366","3393","Richards St & Delavan St",40.6794327,-74.00785041,279
"367","3394","Columbia St & W 9 St",40.6769993,-74.00647134,233
"368","3395","Henry St & W 9 St",40.6763744,-74.00324957,155
"369","3396","Clinton St & 4 Place",40.6783563,-74.00014502,859
"370","3397","Court St & Nelson St",40.6763947,-73.99869893,835
"371","3398","Smith St & 9 St",40.6746957,-73.99785768,1059
"372","3399","7 St & 3 Ave",40.6726029815013,-73.9898300170898,386
"373","340","Madison St & Clinton St",40.71269042,-73.98776323,1128
"374","3400","E 110 St & Madison Ave",40.7961535,-73.94782145,1124
"375","3401","2 Ave & 9 St",40.6724811,-73.99331394,92
"376","3402","Court St & State St",40.6902375,-73.99203074,1909
"377","3403","4 Ave & 9 St",40.6705135,-73.98876585,688
"378","3404","7 St & 5 Ave",40.6704922,-73.98541675,630
"379","3405","5 St & 6 Ave",40.6704836,-73.98208968,417
"380","3407","Union St & Nevins St",40.6790979972168,-73.9876547455788,838
"381","3408","Congress St & Clinton St",40.6881529,-73.99520919,1273
"382","3409","Bergen St & Smith St",40.6867443,-73.99063168,2846
"383","341","Stanton St & Mangin St",40.71782143,-73.97628939,1532
"384","3410","Dean St & Hoyt St",40.6864442,-73.98759104,858
"385","3411","Bond St & Bergen St",40.6849668,-73.98620772,894
"386","3412","Pacific St & Nevins St",40.6853761,-73.98302136,769
"387","3413","Wyckoff St & 3 Ave",40.6827549,-73.98258555,857
"388","3414","Bergen St & Flatbush Ave",40.6809447234773,-73.9756733179092,1351
"389","3415","Prospect Pl & 6 Ave",40.6793307,-73.97519523,693
"390","3416","7 Ave & Park Pl",40.6776147,-73.97324283,1245
"391","3417","Baltic St & 5 Ave",40.6795766,-73.97854971,1347
"392","3418","Plaza St West & Flatbush Ave",40.6750207,-73.97111473,1723
"393","3419","Douglass St & 4 Ave",40.6792788,-73.98154004,794
"394","342","Columbia St & Rivington St",40.71739973,-73.98016555,1194
"395","3420","Douglass St & 3 Ave",40.6802133,-73.98432695,1065
"396","3422","Columbia St & Degraw St",40.6859296,-74.00242364,927
"397","3423","West Drive & Prospect Park West",40.6610633719006,-73.9794525504112,4099
"398","3424","E 106 St & Lexington Ave",40.791976,-73.945993,444
"399","3425","2 Ave & E 104 St",40.7892105,-73.94370784,521
"400","3427","Lafayette St & Jersey St",40.7243052725033,-73.9960098266602,3623
"401","3429","Hanson Pl & Ashland Pl",40.6850680730818,-73.9779075980186,1954
"402","343","Clinton Ave & Flushing Ave",40.69794,-73.96986848,890
"403","3430","Richardson St & N Henry St",40.7190789117956,-73.9422369003296,791
"404","3432","NYCBS Depot - GOW",40.6690601350111,-73.9946365356445,40
"405","3434","W 88 St & West End Ave",40.7902541733042,-73.9771834015846,670
